query,reps,total_time,time_per_rep,distinct_values
control,1,35,35.0,1
species,100,8,0.08,99
Site,1,10,10.0,16
Year,100,11,0.11,66
Observer,1000,40,0.04,269
ageMethod,1,21,21.0,3
Site_Species,1000,20,0.02,1584
Site_Observer,1000,12,0.012,4304
Species_Observer,1000,7,0.007,26631
Year_Observer,1000,7,0.007,17754
Observer_ageMethod,1000,25,0.025,807
Site_Species_Observer,1000,6,0.006,422204
Year_Observer_ageMethod,1000,6,0.006,53262
Site_Species_Observer_Year,1000,6,0.006,1930842
Species_Observer_Year_ageMethod,1000,6,0.006,1664621
